Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Deniz Arsan,"PhD Candidate, University of Illinois at Urbana-Champaign",4,2,59,59,University of Illinois,male,1
Dian Asmarajati,"Teknik Informatika, Universitas Sains Alquran",4,1,59,48,,female,0
Fei Wu,University of Minnesota,5,3,59,59,University of Minnesota,female,0
Pooja Upadhyay,"PhD student, University of Maryland, College of Information Studies",3,1,59,59,University of Maryland,male,1
Zeyu Xiong,"MPhil Student, HKUST(Guangzhou)",5,4,59,59,,male,1
Sumaiya Amin,"Graduate Research Assistant, St. Francis Xavier University",3,2,59,59,St. Francis Xavier University,male,1
Mohammad Nafe Assafi,"Graduate Research Assistant, Mississippi State University",5,1,59,59,Mississippi State University,male,1
Jihae Han,"PhD Researcher, KU Leuven",4,3,59,59,,male,1
Mitsuhiro GOTO,NTT Human Informatics Laboratories,4,1,59,53,,female,0
Zekun Wu,Saarland University,4,1,59,59,Saarland University,male,1
Qiwen Zhao,Rochester Institute of Technology,4,3,59,59,Rochester Institute of Technology,female,0
Piaoyang Wang,University of Michigan - Ann Arbor,1,1,59,59,University of Michigan - Ann Arbor,female,0
"Patrick Mead, Ph.D.",General Dynamics Mission Systems,4,1,58,49,,male,1
Rodrigo Morteo,Sofftek,3,3,58,27,,female,0
Stefano Targher,Post Doc. University of Trento (UNITN),5,3,58,36,University of Trento,male,1
Amelia W. Cole,University of British Columbia,3,2,58,58,University of British Columbia,female,0
Ashleigh Rhea Gonzales,"School of Criminology, Simon Fraser University",3,2,58,23,School of Criminology,female,0
Seungwoo Lee,Google,2,2,58,21,,female,0
Sergey Kruzhlov,National Research University MPEI,3,1,58,19,National Research University,female,0
Yusrita Mohd Yusoff,"School of Multimedia Technology and Communication, Universiti Utara Malaysia",4,3,58,33,School of Multimedia Technology and Communication,male,1
Syed Ghayas,Malaysia,5,2,58,36,,female,0
Karen Sowon,Postdoctoral researcher - Carnegie Mellon University,5,4,58,56,Carnegie Mellon University,male,1
Katherine Fennedy,Research Fellow in NUS-HCI Lab,4,1,58,58,,male,1
Takahiro Hashizume,The University of Tokyo,3,3,58,47,The University of Tokyo,male,1
Supria,Politeknik Negeri Bengkalis,4,2,58,56,,female,0
Mohamed Soliman,Self-affiliated,2,1,58,55,,male,1
Aisha Ahmed AlArfaj,"Information systems department, college of science, Princess Nourah bint Abdulrahman University",4,2,58,58,,female,0
Shannon Rodgers,Queensland University Of Technology,4,2,58,54,Queensland University Of Technology,female,0
Tu Le,"University of California, Irvine",4,3,58,58,University of California,male,1
Bernadhed,Universitas Amikom Yogyakarta,4,2,58,53,,female,0
George Hope Chidziwisano,"Assistant Professor, University of Tennessee, Knoxville",4,3,58,58,University of Tennessee,female,0
Dawid Ratajczyk,"Faculty of Psychology and Cognitive Science, Adam Mickiewicz University in Poznań",5,2,58,58,Faculty of Psychology and Cognitive Science,male,1
Haesoo Kim,Cornell University,4,3,58,58,Cornell University,female,0
Leonardo Vasconcelos,Universidade Federal Fluminense,4,2,58,58,,male,1
Hiroaki Masaki,The University of Tokyo,1,1,58,58,The University of Tokyo,male,1
Saba Kheirinejad,"Visiting Graduate Scholar at University of California, Santa Cruz (UCSC)",4,3,58,58,University of California,male,1
Ajit G. Pillai,"Researcher, The University of Sydney",4,1,58,58,The University of Sydney,male,1
Keri Mallari,"PhD Student, University of Washington",4,3,58,58,University of Washington,male,1
Caroline Wong,University of Waterloo,3,2,58,58,University of Waterloo,female,0
SuHyeon Yoo,University of Toronto,4,2,58,58,University of Toronto,male,1
Yu Zhao,Vanderbilt University,5,3,58,58,Vanderbilt University,male,1
Ziqi Zhou,University of Waterloo,3,2,58,58,University of Waterloo,female,0
Abdulrahman Alhazmi,"Assistant Professor, Jazan University, Saudi Arabia",3,2,58,58,Jazan University,male,1
Naveera Sahar,"Deparment of Computer Science, University of Wah",2,2,58,58,University of Wah,female,0
Jinkyung (Katie) Park,"Postdoctoral Scholar, Vanderbilt University",6,0,58,57,Vanderbilt University,male,1
Yu Chenmei,Universiti Sains Malaysia,4,3,58,58,,female,0
Jiajing Guo,"Bosch Research, Research Engineer",5,2,58,58,,male,1
Zekun Chang,"PHD, Cornell Univercity",3,1,58,58,,male,1
Yuqi Yao,Unknown affiliation,4,3,58,55,,female,0
Kejia Su,Xidian University,2,2,58,57,Xidian University,male,1
Hung-Yeh Lin,"User Experience Research Specialist I, Parkview Health",4,2,58,57,,male,1
Michael Madison,Pacific Northwest National Laboratory,4,2,57,6,,male,1
Yihan Tao,"Ph.D. student of Computer Science, Queen Mary University of London",3,3,57,30,Queen Mary University of London,female,0
Gilmar D'Agostini Oliveira Casalinho,"PhD Student, Management Information Systems, UFRGS",2,2,57,38,,female,0
Sarmad Soomro,Whitecliffe New Zealand,3,2,57,18,,female,0
Danniel Varona-Marin,University of Waterloo,2,1,57,31,University of Waterloo,male,1
Samantha Kolovson,University of Washington,4,3,57,52,University of Washington,male,1
Rodrigo Martín,"Data Scientist, Vodafone Business",3,1,57,42,,male,1
Remuz Kmurawak,"Sistem Informasi, Universitas Cenderawasih",4,1,57,57,,female,0
Seyma Kucukozer Cavdar,Machine Learning Engineer at Insider,3,1,57,44,,female,0
Daniele Ramos de Souza,"MSc Student in Computer Science, PUCRS",5,1,57,48,,female,0
Liang Chen,Google Inc.,5,2,57,27,,female,0
Nishtha Phutela,Assistant Professor,5,1,57,57,,female,0
Felix Heinrichs,Unknown affiliation,4,2,57,16,,male,1
Damien Brun,"Assistant Professor, Université du Québec à Chicoutimi",5,1,57,52,,male,1
Florian E. Sachs,"University of Cologne (Faculty of Management, Economics and Social Sciences)",3,3,57,56,University of Cologne,male,1
Hüseyin Uğur Genç,"Postdoctoral Researcher, TU Delft",4,3,57,57,,female,0
Shreepriya Gonzalez-Jimenez,"User Experience Researcher, Naver Labs",4,1,57,57,,male,1
Roland Graf,"Associate Professor, University of Michigan, Stamps School of Art & Design",3,2,57,56,University of Michigan,male,1
Emily Sidnam-Mauch,Clemson University,3,2,57,57,Clemson University,female,0
Madeleine Steeds,"Assistant Professor, University College Dublin",4,2,57,57,University College,female,0
Keith M. Davis III,University of Helsinki,4,4,57,57,University of Helsinki,male,1
"Marylyn Alex, PhD",University of Auckland,5,1,57,53,University of Auckland,male,1
Stefan Auer,"PhD Candidate, University of Konstanz, Germany",1,1,57,46,,female,0
Nitya Verma,UX Researcher,4,3,57,49,,female,0
Mohi Reza,"PhD Candidate, University of Toronto",4,2,57,57,University of Toronto,male,1
Vinay Koshy,University of Illinois Urbana Champaign,3,1,57,57,University of Illinois Urbana,male,1
Yiming (Skylar) Lei,Michigan State University,4,3,57,57,Michigan State University,female,0
Emily Dao,"School of Computing and Information Systems, University of Melbourne",2,2,57,57,School of Computing and Information Systems,male,1
Poorvesh Dongre,"PhD Student, Computer Science, Virginia Tech",4,1,57,54,,female,0
Dhanush Kumar Ratakonda,"User Experience Researcher, Boise State University",4,3,57,57,Boise State University,male,1
Christopher Caulfield,Microsoft,2,1,57,46,,male,1
Igor Didier Sabukunze,Mr.,3,2,57,56,,female,0
Dhiraj Barnwal,Rill Data,2,2,57,56,,male,1
Ruyuan Wan,University of Notre Dame,4,2,57,56,University of Notre Dame,male,1
Ruth G Nagassa,"Faculty of Information Technology, Monash University",1,1,57,57,Faculty of Information Technology,female,0
A K M Amanat Ullah,University of British Columbia,4,1,57,57,University of British Columbia,female,0
Runlin Duan,Ph.D. student of Purdue University,2,2,57,56,Purdue University,male,1
Indika Karunaratne,University of Moratuwa,4,3,56,17,University of Moratuwa,female,0
Mahdi Zahedi Nooghabi,Ferdowsi University of Mashhad,3,2,56,31,Ferdowsi University of Mashhad,male,1
Kazi Sinthia Kabir,"Kahlert School of Computing, University of Utah",5,1,56,51,"Kahlert School of Computing, University of Utah",male,1
Nela Brown,University of Greenwich,2,1,56,40,University of Greenwich,male,1
Tinglin Duan,"Electrical and Computer Engineering, University of Toronto",3,3,56,54,University of Toronto,male,1
Jochen Britz,Deutsches Forschungszentrum für künstliche Intelligenz,5,1,56,31,,female,0
Guy Clarke Marshall,"University of Manchester, UK",5,0,56,56,University of Manchester,female,0
Sachin Grover,Data Scientist,4,2,56,56,,male,1
Ziheng 'Leo' Li,Columbia University,3,3,56,56,Columbia University,male,1
Gilberto Balbela Consoni,"Adjunct Professor at Department of Design, Universidade Federal do Rio Grande do Sul",4,2,56,13,,male,1
Ayushi Srivastava,"Indraprastha Institute of Information Technology, Delhi",3,2,56,56,Indraprastha Institute of Information Technology,male,1
Chaeyun Lim,"Doctoral Candidate, Department of Media and Information, Michigan State",3,2,56,56,,female,0
Sayan Pramanik,Student at University of Engineering and Management Kolkata,2,1,56,56,University of Engineering and Management Kolkata,male,1
Sofia Ribeiro,University of Aveiro,4,2,56,56,University of Aveiro,female,0
Xinhui JIANG,Kochi University of Technology,3,2,56,56,Kochi University of Technology,male,1
Rahul Jain,"PhD Student, Elmore Family School of Electrical and Computer Engineering, Purdue University",3,2,56,56,Elmore Family School of Electrical and Computer Engineering,female,0
Mohamed Ikbel Boulabiar,Telecom Bretagne,4,2,55,35,,male,1
Anak Agung Gede Dharma,Unknown affiliation,5,2,55,16,,female,0
Thomas Pfeiffer,PhD student at CASED / Institute of Ergonomics Darmstadt,5,2,55,23,CASED / Institute of Ergonomics Darmstadt,female,0
Winfred Ofoe Larkotey,"Senior Lecturer, Faculty of Science, Valley View University",4,1,55,38,Faculty of Science,male,1
Dr.Manasi Ram Baheti,"Assistant Professor,Department of Computer Science and IT,Dr.B.A.M.University, Aurangabad.",2,1,55,49,,male,1
Iqra Tariq,"PhD Scholar: The Superior University, Lahore ; Lecturer - GIFT University",4,2,55,47,The Superior University,female,0
Yomna Aly,"MSc Candidate (Computer Science), University of Toronto",6,2,55,45,University of Toronto,male,1
Shirin Esmaeili Bijarsari,Goethe-Uni Frankfurt am Main,3,3,55,53,,male,1
Joaquín-Danilo Pina-Amargós,"Universidad Tecnológica de la Habana, José Antonio Echeverría",5,1,55,20,,male,1
Michael P Williams,Northeastern University,3,1,55,43,Northeastern University,male,1
Deepak Sood,"Student at Indraprastha Institute of Information Technology, Delhi",1,1,55,49,Indraprastha Institute of Information Technology,female,0
Somaiyeh Vedadi,wilfrid laurier university,4,1,55,52,wilfrid laurier university,female,0
Alon Grinshpoon,"MS in Computer Science, Columbia University",5,3,55,53,Columbia University,female,0
Muhammad Javed Ramzan,"İstinye Üniversitesi, İstanbul, Türkiye",3,1,55,55,,male,1
Willian Garcias de Assuncao,Federal University of Sao Carlos,4,2,55,55,Federal University of Sao Carlos,female,0
Hongzhi Zhu,University of British Columbia,4,2,55,55,University of British Columbia,male,1
Minji Kong,"UX Researcher, Independent Project Analysis",3,1,55,55,,female,0
ARNEL OCAY,Urdaneta City University,3,2,55,53,Urdaneta City University,female,0
Vinitha Gadiraju,Wellesley College,5,2,55,55,Wellesley College,female,0
Nora Ptakauskaite,"PhD student, University College London",2,2,55,50,University College,male,1
Alvaro Aranda Muñoz,"Mälardalen University, RISE",5,0,55,49,Mälardalen University,male,1
Anantha Pillai,"KTH Royal Institute of Technology, Aalto University",1,1,55,49,KTH Royal Institute of Technology,female,0
Martin Taraz,Hasso Plattner Institut,4,3,55,48,,female,0
Amreeta Chatterjee,"Graduate Student, Oregon State University",4,2,55,55,Oregon State University,female,0
Yosra MOURALI,Université Polytechnique des Hauts-De-France,3,2,55,55,,male,1
Lauren Herckis,Carnegie Mellon University,4,3,55,45,Carnegie Mellon University,male,1
Anju Varghese Philip,SCMS Cochin School of Business,3,2,55,55,SCMS Cochin School of Business,female,0
Robert A. Kaufman,"University of California, San Diego",4,2,55,55,University of California,male,1
Cat Mai,PhD Student at New York University,3,2,55,55,New York University,female,0
Georgianna (Blue) Lin,University of Toronto,4,2,55,55,University of Toronto,male,1
Yiren Liu,University of Illinois at Urbana-Champaign,2,1,55,55,University of Illinois,male,1
Philipp Hallgarten,Meta Reality Labs & TU Munich | prev at Porsche,3,3,55,55,,female,0
Pedro Breton,"Assistant Researcher, Rochester Institute of Technology",1,1,55,55,Rochester Institute of Technology,female,0
Huajian Qiu,Unknown affiliation,1,1,55,55,,male,1
MuHaMMaD AqEeL,Assistant Professor,3,1,55,55,,male,1
Linfei Ge,The Hong Kong University of Science and Technology,4,2,55,54,The Hong Kong University of Science and Technology,female,0
Stanley J. Cantrell,Georgia Institute of Technology,3,2,54,33,Georgia Institute of Technology,male,1
Parker A. Williams,"Sr Integration Engineer, Research Consultant at University of Arizona & BYU",4,3,54,51,University of Arizona & BYU,female,0
Priyanka G. Jaiswal,Department of Computer Science and Information Technology,5,1,54,48,,female,0
Arman Ahmed,A Tech Enthusiast,4,3,54,48,,female,0
Kamyar Ghajar,Graduate Research Assistant at University of Waterloo,3,2,54,53,University of Waterloo,male,1
Maitane Mazmela Etxabe (0000-0003-0848-2131),Mondragon Unibertsitatea,4,3,54,54,,male,1
ehsan sayyad,"PhD of Media Arts and Technology, University of California Santa Barbara",4,2,54,54,University of California,male,1
Katerina Pieri,UCD/UX Researcher,3,2,54,47,,male,1
José Cláudio V. S. Junior,"PhD student, Federal University of Rio Grande do Norte",5,3,54,43,Federal University of Rio Grande,male,1
Kewal Shah,Software Engineer,1,1,54,54,,female,0
Yudai Tanaka,University of Chicago,5,2,54,54,University of Chicago,male,1
Giulia Cardieri,Universidade Federal de São Carlos,3,1,54,52,,female,0
Bradley Rey,University of British Columbia,4,1,54,54,University of British Columbia,male,1
Murillo Vasconcelos Henriques Bittencourt Castro,"MSc. Student, Federal University of Espírito Santo (UFES)",5,1,54,46,Federal University,female,0
Emily Kuang,Rochester Institute of Technology,5,1,54,53,Rochester Institute of Technology,female,0
Jackie Jingyi Xu,University of Southern California,2,2,54,54,University of Southern California,female,0
Riffat Sharmin,"Studying Master's in Computer Science at Saarland University, Germany",2,1,54,54,Saarland University,female,0
Reza Amini Gougeh,McGill UIniversity,5,0,54,54,,male,1
Fareed Sameer Fareed AL-Sayid,PhD Industrial Engineering,3,2,54,38,,female,0
Andrea Mattioli,ISTI - CNR,3,2,54,54,,male,1
Peter Chen,Monash University,4,2,54,54,Monash University,female,0
Doeun Park,Yonsei University,4,1,54,49,Yonsei University,female,0
Zixiong Su,Ph.D. Candidate at the University of Tokyo,4,2,54,54,the University of Tokyo,male,1
Matthew (Matt) Archer,"Doctoral Student, Oakland University",3,1,54,53,Oakland University,male,1
Tomás Murillo-Morales,"Johannes Kepler University Linz, Austria",5,1,54,45,Johannes Kepler University,female,0
Ziwei Gao,University College London,2,1,54,54,University College,male,1
Ayca Aygun,Tufts University,5,1,54,50,Tufts University,female,0
Noel Park,University of Otago,4,2,54,52,University of Otago,female,0
Justin Juho Kim,"Researcher, The Hong Kong University of Science and Technology",2,2,54,54,The Hong Kong University of Science and Technology,female,0
Owen Cornec,"Research Engineer, IBM Research",3,2,54,53,,female,0
Hugo Lopez-Tovar,University College London,3,1,53,26,University College,female,0
Tzu-Yang Yu,"PhD, Dept of Computer Science, McGill University",5,1,53,46,McGill University,male,1
Gleb Satyukov,USC Information Sciences Institute,4,2,53,46,USC Information Sciences Institute,female,0
Minal Jain,Twitter,3,1,53,42,,female,0
Daniel Reguera-Bakhache (ORCID 0000-0002-2846-2755),Mondragon Unibertsitatea - Data Analysis & Cybersecurity (ROR 00wvqgd19),4,1,53,47,,female,0
Michael Chamunorwa,Carl Von Ossietzky University of Oldenburg,4,2,53,44,,male,1
Parisa Alirezaee,Masters of Engineering in Electrical and Computer Engineering,5,3,53,51,,female,0
Sanethia Thomas,University of Florida,3,3,53,52,University of Florida,male,1
Florian Strohm,"PhD Student, University of Stuttgart",4,3,53,53,University of Stuttgart,female,0
Diego Rojo,"PhD Candidate, KU Leuven",5,2,53,52,,male,1
Jay Rainey,"Engineer, Samsung AI Center (SAIC), Cambridge",4,3,53,53,,female,0
Ruijing Zhao,"PhD Student, Sauder School of Business, University of British Columbia",2,2,53,53,"Sauder School of Business, University of",male,1
